id,skill_label,tokenized_sentences
ACC-BIN-3105-1.1,Business Management,"['Conduct negotiations to establish win-win outcomes for the organisation.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and documenting negotiations.', 'Participating in negotiations.', 'Manage and direct negotiations and refining negotiation policies.', 'Direct negotiation policy and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations  .', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and documenting negotiations.', 'Participating in negotiations.', 'Manage and direct negotiations and refining negotiation policies.', 'Direct negotiation policy and develop negotiation limits.', 'Apply negotiation skills and techniques and documenting negotiations..', 'Participating in negotiations  .', 'Manage and direct negotiations and refining negotiation policies.', 'Direct negotiation policy and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies.', 'Direct negotiation policies and develop negotiation limits.', 'Apply negotiation skills and techniques and document negotiations.', 'Participate in negotiations.', 'Manage and direct negotiations and refine negotiation policies']"
ACC-SBM-4002-1.1,Business Management,"['Design and formulate business plans to achieve business goals.', 'Perform planning, forecasting and budgeting.', 'Evaluate large and complex investments, capital expenditures and financing projects.', 'Evaluate operating environment to design and formulate organisational strategies and policies']"
ACC-IAD-3002-1.1,Business Management,"['Analyse business processes for improvement, optimisation and efficiency.', 'Document business processes and identify gaps in the design of business processes.', 'Analyse the design of business processes and make recommendations to improve business processes.', 'Evaluate the quality of business process improvement recommendations.', ""Evaluate implications of process design gaps and improvement recommendations on organisation's strategic objectives""]"
ACC-SBM-5003-1.1,Business Management,"[""Manage and optimise an organisation's business processes for efficiency and effectiveness."", 'Perform productivity gaps analysis for business process re-engineering.', 'Develop sustainability profile for the organisation and its operations']"
ACC-BTF-3002-1.1,Business Management,"['Manage changes and developments within teams and organisation.', 'Support implementation of change management programmes and initiatives.', 'Collaborate with management on possible opportunities for change.', 'Manage team to implement change.', 'Lead organisation to implement change management']"
ACC-BRL-2001-1.1,Business Management,"['Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively.', 'Understand what drives the behaviours of others in a conflict situation and assess own behaviours to minimise conflict occurrences.', 'Facilitate conflict situations through appropriate balance of logic and emotions and oversee behaviours within teams to minimise conflict occurrences.', 'Manage and diffuse conflicts between groups or individuals.', 'Devise multiple strategies of conflict management, coordinate all parties to resolve the conflicts and assess conflict situations in arriving at compromised solutions.', 'Synergise divergent internal and external interests, encourage all parties to resolve conflicts collaboratively and act in the interest of the organisation as the highest priority.', 'Devise multiple strategies of conflict management, coordinate all parties to resolve the conflicts and assess conflict situations in arriving at compromised solutions.', 'Address questions, understand what drives the behaviours of others in a conflict situation and assess own behaviour to minimise conflict occurrences.', 'Facilitate conflict situations through appropriate balance of logic and emotions and oversee behaviours within teams to minimise conflict occurrences.', 'Manage and diffuse conflicts between groups or individuals.', 'Devise multiple strategies of conflict management, coordinate all parties to resolve the conflicts and assess conflict situations in arriving at compromised solutions.', 'Synergise divergent internal and external interests, encourage all parties to resolve conflicts collaboratively and act in the interest of the organisation as the highest priority.', 'Address questions, understand what drives the behaviours of others in a conflict situation and assess own behaviours to minimise conflict occurrences.', 'Facilitate conflict situations through appropriate balance of logic and emotions and oversee behaviours within teams to minimise conflict occurrences.', 'Manage and diffuse conflicts between groups or individuals.', 'Devise multiple strategies of conflict management, coordinate all parties to resolve the conflicts and assess conflict situations in arriving at compromised solutions.', 'Synergise divergent internal and external interests, encourage all parties to resolve conflicts collaboratively and act in the interest of the organisation as the highest priority.', 'Address questions, understand what drives the behaviours of others in a conflict situation and assess own behaviour to minimise conflict occurrences.', 'Facilitate conflict situations through appropriate balance of logic and emotions and oversee behaviours within teams to minimise conflict occurrences.', 'Manage and diffuse conflicts between groups or individuals.', 'Devise multiple strategies of conflict management, coordinate all parties to resolve the conflicts and assess conflict situations in arriving at compromised solutions.', 'Synergise divergent internal and external interests, encourage all parties to resolve conflicts collaboratively and act in the interest of the organisation as the highest priority.', 'Address questions, understand what drives the behaviours of others in a conflict situation and assess own behaviour to minimise conflict occurrences.', 'Facilitate conflict situations through appropriate balance of logic and emotions and oversee behaviours within teams to minimise conflict occurrences.', 'Manage and diffuse conflicts between groups or individuals.', 'Devise multiple strategies of conflict management, coordinate all parties to resolve the conflicts and assess conflict situations in arriving at compromised solutions']"
ACC-BLR-2001-1.1,Business Management,"['Respond to the changes in business laws and regulations.', 'Interpret legal agreements and global development to support decision making.', 'Articulate the latest global development, relevant business laws and regulations.', 'Apply relevant laws and regulations to support decision-making.', 'Analyse the latest global developments, regulatory and legal framework.', 'Evaluate impact of latest global developments, relevant laws and regulations on decision making.', 'Apply relevant laws and regulations to support decision-making.', 'Analyse the latest global developments, regulatory and legal framework']"
ACC-BTF-5003-1.1,Business Management,"['Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models.', ""Analyse disruptive models and impact on an organisation's business and finance operations."", 'Lead changes to incumbent business models to counter disruptive forces on the organisation']"
ACC-CFI-2006-1.1,Business Management,"['Generate finance-related insights to support the business in a strategic manner.', 'Understand finance business drivers and perform basic finance analyses.', 'Conduct analyses to derive finance insights and strategies for finance-related issues.', 'Align finance insights to organisational needs to draw and present relevant business strategies.', 'Direct investigation of finance issues through data analytics and insight generation to enhance quality of decision making.', 'Influence business decisions and manage business issues through application of business knowledge paired with finance-driven insights']"
ACC-LGL-3001-1.1,Business Management,"['Utilise laws and regulations governing white-collar crime in the process of forensic services.', 'Articulate laws and regulations regarding white-collar crime.', 'Apply laws and regulations regarding white-collar crime in the process of forensic investigations.', 'Guide application of laws and regulations regarding white-collar crime in forensic investigations']"
ACC-IAD-3003-1.1,Business Management,"['Collect and analyse information and data to obtain business insights for business activities.', 'Collect information and data using appropriate techniques and analytic tools.', 'Analyse and interpret findings for business insights and make recommendations.', 'Review data to form business insights to focus on value added opportunities or high risk areas.', 'Engage stakeholders to communicate findings of data analysis, opportunities and high risk areas identified']"
ACC-LGL-3002-1.1,Business Management,"['Provide evidence and testimonies to be used in litigation.', 'Organise materials, reports and other relevant resources to provide litigation support.', 'Collaborate with law enforcement personnel and lawyers to deliver materials for use in litigation.', 'Lead the team in providing litigation support services and serve as an expert in providing testimonies and other advisory work as part of the litigation process']"
ACC-SBM-3004-1.1,Business Management,"['Evaluate impact of external factors on the organisation.', 'Demonstrate understanding of business climate.', 'Analyse immediate threats or opportunities on organisation’s wider environment.', ""Evaluate the influences and impact of the rapidly changing business environment on organisation's performance."", 'Analyse immediate threats or opportunities on organisation’s wider environment.', ""Evaluate the influences and impact of the rapidly changing business environment on organisation's performance""]"
ACC-MAC-3006-1.1,Business Management,"['Make financial decisions based on management reports.', 'Compile data for management accounting purposes.', ""Review management information for presentation to the organisation's management team."", 'Evaluate management reports for decision-making.', 'Drive management decision-making based on financial information']"
ACC-CRP-4008-1.1,Business Management,"['Prepare sustainability and integrated reports of the organisation.', 'Apply the conceptual framework for sustainability reporting and integrated reporting.', 'Evaluate the adequacy and effectiveness of sustainability reporting and integrated reporting.', 'Lead the application of conceptual framework for sustainability reporting and integrated reporting']"
ACC-MAC-2007-1.1,Business Management,"['Measure and manage business performance.', 'Prepare basic analysis of management information.', 'Perform business performance measurement.', 'Manage revenue and related expense reporting for the business unit.', 'Analyse management information in context of external environment and business objectives.', 'Establish performance management framework and appraisal methodologies']"
ACC-AUD-3009-1.1,Business Management,"['Assess evidence to make informed decisions about the appropriate course of action.', 'Apply professional scepticism and judgment in the performance of individual duties and responsibilities.', 'Apply professional scepticism and judgment at the engagement level.', 'Develop opinions with sceptical mind-set and professional judgment throughout the engagement']"
ACC-PVE-3006-1.1,Business Management,"['Advocate standards development to promote public confidence and build trust in society.', 'Uphold applicable professional standards during performance of individual duties and responsibilities.', 'Guide team to uphold applicable professional standards.', 'Implement processes to ensure professional standards are adhered to within the department.', 'Contribute towards professional standards development to deliver trust in the organisation and society']"
ACC-PMM-2001-1.1,Business Management,"['Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes.', 'Implement project administration processes in accordance with project administration policies.', 'Determine project scope, costs and risks.', 'Manage project plan and deliverables.', 'Evaluate project plans, deliverables, project communications and knowledge management outcomes.', 'Review project risks effectively to optimise project outcomes.', 'Implement project administration processes in accordance with project administration policies.', 'Determine project scope, costs and risks.', 'Manage project plan and deliverables.', 'Evaluate project plans, deliverables, project communications and knowledge management outcomes.', 'Review project risks effectively to optimise project outcomes']"
ACC-PMM-3002-1.1,Business Management,"['Study project feasibility to meet project outcomes and objectives.', 'Conduct project feasibility.', 'Assess project feasibility studies.', 'Evaluate project feasibility.', 'Direct project feasibility studies and ensure alignment with organisation standards']"
ACC-BIN-3021-1.1,Business Management,"['Execute projects by managing stakeholder engagement, resources, budgets and resolving problems.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of large, complex projects or multiple projects concurrently, coordinating project interdependencies.', 'Direct the management and authorise ownership of multiple large, complex projects, ensuring alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies  .', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies.', 'Direct the management and authorise ownership of multiple complex projects to ensure alignment with strategic business priorities.', 'Implement project plans for small projects or project modules.', 'Manage medium scale projects by implementing appropriate methodologies and tools.', 'Lead end-to-end management of complex projects or multiple projects concurrently and coordinate project interdependencies']"
ACC-BRL-3002-1.1,Business Management,"['Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures.', 'Maintain working level relationships to support project implementation activities and create partnerships.', 'Develop relationships, engage relevant stakeholders and facilitate alignment of stakeholders’ and project objectives.', 'Cultivate relationships that create trust, long-term partnerships and collaborations, and drive engagement with stakeholders.', ""Establish the overall vision for the alignment of organisation's and stakeholders' objectives, co-creating shared goals and strategic initiatives with senior stakeholders.."", 'Maintain working level relationships to support project implementation activities and create partnerships.', 'Develop relationships, engage relevant stakeholders and facilitate alignment of stakeholders’ and project objectives.', 'Cultivate relationships that create trust, long-term partnerships and collaborations, and drive engagement with stakeholders.', ""Establish the overall vision for the alignment of organisation's and stakeholders' objectives, co-creating shared goals and strategic initiatives with senior stakeholders."", '.', 'Maintain working level relationships to support project implementation activities and create partnerships.', 'Develop relationships, engage relevant stakeholders and facilitate alignment of stakeholders’ and project objectives.', 'Cultivate relationships that create trust, long-term partnerships and collaborations, and drive engagement with stakeholders']"
ACC-ACE-3007-1.1,Business Management,"['Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues.', 'Understand the interrelationship of various processes affecting work activities, assess processes and systems holistically and examine aggregates rather than individual activities.', 'Monitor the interrelationship of systems and processes across the organisation and evaluate these systems based on value creation and contribution to specific issues.', 'Understand complexity of cause-and-effect relationships of systems and processes across the organisation and provide direction to improve organisational systems based on gaps identified.', 'Understand the interrelationship of various processes affecting work activities, assess processes and systems holistically and examine aggregates rather than individual activities.', 'Monitor the interrelationship of systems and processes across the organisation and evaluate these systems based on value creation and contribution to specific issues.', 'Understand complexity of cause-and-effect relationships of systems and processes across the organisation and provide direction to improve organisational systems based on gaps identified.', 'Understand the interrelationship of various processes affecting work activities, assess processes and systems holistically and examine aggregates rather than individual activities.', 'Monitor the interrelationship of systems and processes across the organisation and evaluate these systems based on value creation and contribution to specific issues.', 'Understand complexity of cause-and-effect relationships of systems and processes across the organisation and provide direction to improve organisational systems based on gaps identified']"
ACC-ICT-2001-1.1,Digital and Data Management,"['Implement accounting or tax software systems in the organisation.', 'Use software and accounting systems to input journals, transactions and events.', 'Operate management information systems to approve journals, transactions and events.', 'Apply the functionalities of the relevant Infocomm Technology systems and business processes.', 'Implement relevant Infocomm Technology systems and business processes.', 'Lead organisation or business unit to create technology-enabled finance and tax functions.', 'Use software and accounting systems to input journals, transactions and events.', 'Operate management information systems to approve journals, transactions and events']"
ACC-ICT-3002-1.1,Digital and Data Management,"['Develop awareness of cyber security threats.', 'Develop awareness on cyber security threats and Infocomm Technology developments.', 'Identify cyber security threats and Infocomm Technology developments in business processes.', 'Establish policies and procedures to counter cyber security threats']"
ACC-ICT-3003-1.1,Digital and Data Management,"['Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence.', 'Apply data extraction and analysis using software and business intelligence tools to extract financial and non-financial information and generate reports.', 'Analyse financial and non-financial information using analytics and business intelligence tools.', 'Evaluate financial and non-financial information using analytics and business intelligence tools to obtain business insights']"
ACC-SNA-3008-1.1-1,Digital and Data Management,"['Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches.', 'Identify and select appropriate scenarios to practice and adhere to data usage, data management and data protection guidelines and policies across lifecycle.', 'Implement guidelines, laws, statutes and regulations on appropriate handling of data at various stages in their lifecycle, and monitor compliance with data policies.', 'Develop organisation practices and standards for handling data throughout their lifecycle, resolve breaches, and oversee transfer of data between organisations.', 'Establish policies for data security and usage, facilitate industry consensus around data ethics, and provide expert advice on data transfer across geographies.', 'Identify and select appropriate scenarios to practice and adhere to data usage, data management and data protection guidelines and policies across lifecycle.', 'Implement guidelines, laws, statutes and regulations on appropriate handling of data at various stages in their lifecycle, and monitor compliance with data policies.', 'Develop organisation practices and standards for handling data throughout their lifecycle, resolve breaches, and oversee transfer of data between organisations']"
ACC-DAT-3020-1.1,Digital and Data Management,"['Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner.', 'Select appropriate visualisation techniques to translate data insights into visual and narrative formats to deliver tailors and compelling messages and reflect data findings.', 'Design storyboards and data displays to communicate key insights,  trends and findings derived from data, incorporating new and advanced visualisation techniques and messaging aligned to business needs and audience.', 'Establish effective data storytelling and visualisation approaches with supporting tools to enable optimal delivery of insights and messages']"
ACC-DAT-3022-1.1,Digital and Data Management,"['Use forensic technologies in the delivery of forensic services.', 'Deploy forensic technologies in the delivery of forensic services.', 'Facilitate the collection of electronic information for use in forensic investigations.', 'Drive application of tools and processes to improve the efficacy of digital forensics in forensic investigations']"
ACC-ICT-3004-1.1,Digital and Data Management,"['Develop digital technology enhancement projects to support the organisational objectives.', 'Identify technology developments and Infocomm Technology (IT) solutions to support organisational objectives.', 'Perform Infocomm Technology (IT) enhancement development projects to support organisational objectives.', 'Manage technology enhancement projects to support organisational objectives.', 'Lead Infocomm Technology (IT) development projects to enhance effectiveness and efficiency\xa0of management']"
ACC-ICT-3005-1.1,Digital and Data Management,"['Evaluate the digital technology environment and the impact of digital technology development.', 'Detect technological developments with relevant implications to the business.', 'Analyse Infocomm Technology (IT) environment and impact of IT developments.', 'Evaluate Infocomm Technology (IT) environment and impact of IT developments']"
ACC-LGL-3003-1.1,Digital and Data Management,"['Employ forensic research methodologies to collect and manage data.', 'Identify data sources and extract forensic data.', 'Evaluate forensic data collected during research for relevance and reliability.', 'Develop standards and policies to govern evidence management']"
ACC-DAT-3023-1.1,Digital and Data Management,"['Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities.', 'Analyse data using forensic technologies and statistical techniques to identify trends and patterns in data to detect fraud.', 'Guide analyses of data extracted to detect fraud.', 'Formulate forensic data analysis plans and policies']"
ACC-SUM-3004-1.1,Digital and Data Management,"['Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy.', 'Identify the various risks related to Infocomm Technology (IT), information security and data privacy.', 'Assess various risks related to Infocomm Technology (IT), information security and data privacy and recommend actions to address these risks.', 'Establish policies and procedures to address Infocomm Technology (IT), security and data privacy risks']"
ACC-DIT-2018-1.1-1,Digital and Data Management,"['Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes.', 'Apply macros, programming and coding to meet business needs.', 'Analyse business objectives to identify programming and coding opportunities, to ensure that the technical functionality of software designed is aligned to intended outcomes.', 'Translate business requirements into programming and coding requirements, and design guidelines for the formulation of programmes and codes.', 'Analyse business objectives to identify programming and coding opportunities to ensure that the technical functionality of software designed is aligned to intended outcomes.', 'Translate business requirements into programming and coding requirements and design guidelines for the formulation of programmes and codes.', 'Analyse business objectives to identify programming and coding opportunities, to ensure that the technical functionality of software designed is aligned to intended outcomes .', 'Translate business requirements into programming and coding requirements, and design guidelines for the formulation of programmes and codes']"
ACC-CRP-4001-1.1,Financial and Transaction Management,"['Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements.', 'Apply the requirements of relevant financial reporting framework to achieve the objectives of financial reporting.', 'Analyse impact of changes in relevant financial reporting framework.', 'Assess impact of changes in relevant financial reporting framework.', 'Apply the requirements of relevant financial reporting framework to achieve the objectives of financial reporting.', 'Analyse impact of changes in relevant financial reporting framework.', 'Assess impact of changes in relevant financial reporting framework']"
ACC-MAC-3002-1.1,Financial and Transaction Management,"['Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options.', 'Perform investment appraisal techniques.', 'Evaluate investments, capital expenditures and financing projects.', 'Review investment appraisals.', 'Evaluate investment proposals for approval.', 'Perform investment appraisal techniques.', 'Evaluate investments, capital expenditures and financing projects.', 'Review investment appraisals.', 'Evaluate investment proposals for approval.', 'Perform investment appraisal techniques on capital expenditure investments.', 'Evaluate investments, capital expenditures and financing projects according to defined policies and organisation’s strategic needs.', 'Review and direct investment appraisals and investment decisions for organisational capital management.', 'Perform investment appraisal techniques.', 'Evaluate investments, capital expenditures and financing projects.', 'Review investment appraisals']"
ACC-CFI-3001-1.1,Financial and Transaction Management,"['Acquire or raise capital and funds to carry out organisational goals and objectives.', 'Apply basic corporate funding principles for capital raising.', 'Design cash management solutions.', 'Evaluate strategic considerations in capital raising against business needs.', 'Lead capital raising for organisation.', 'Apply basic corporate project financing principles for capital raising.', 'Design cash management solutions.', 'Evaluate strategic considerations in capital raising against business needs.', 'Lead capital raising for organisation']"
ACC-MAC-3011-1.1,Financial and Transaction Management,"['Manage and maintain business units’ cash flow by consolidating data and performing analysis on cash inflow and outflow.', 'Prepare cash flow reports for the business unit by gathering and consolidating data and reconciling transactions against financial records.', 'Evaluate cash flow analyses and identify potential impact to business.', 'Lead business unit’s cash flow management and determine mitigation strategies']"
ACC-MAC-3012-1.1,Financial and Transaction Management,"['Coordinate and carry out timely and accurate adjudication, validation and disbursement of claims proceeds to creditors.', 'Review and verify claims to facilitate the claims management process within predefined timelines.', 'Develop procedures for the claims management process and investigate any claims discrepancies.', 'Drive improvements on the claims management process, policies and procedures to ensure effectiveness']"
ACC-MAC-3003-1.1,Financial and Transaction Management,"['Analyse, plan and manage costs for cost efficiency and expense reduction.', 'Apply cost accounting and techniques to analyse and manage cost.', 'Determine cost and profit variances using costing methods.', 'Analyse variances through application of costing methods.', 'Drive cost efficiency and expense reduction.', 'Apply cost accounting and techniques to analyse and manage cost.', 'Determine cost and profit variances using costing methods.', 'Analyse variances through application of costing methods.', 'Drive cost efficiency and expense reduction']"
ACC-MAC-3013-1.1,Financial and Transaction Management,"['Establishing the organisation’s financial and credit policies and frameworks to identify, assess and manage the organisation’s credit risk exposure.', 'Prepare credit risk reports by compiling data from financial statements, conducting credit risk analyses and assessing collection and debt recovery options.', 'Implement credit management controls and processes through the monitoring and evaluation of credit applications, credit policies and granting of credit facilities.', ""Develop and establish financial and credit management policies and systems by determining the organisation's financial needs and credit risk exposure threshold""]"
ACC-MAC-3014-1.1,Financial and Transaction Management,"['Assess processes to address risk of default on existing debt or evaluate opportunities to take advantage of lower available interest rates through debt restructuring.', 'Prepare preliminary debt restructuring materials to support the overall process.', 'Assess debt restructuring documentation to minimise risks and communicate terms with stakeholders.', 'Guide the debt restructuring process in accordance with organisation strategies to ensure that approaches consider potential fraud and minimise overall risk.', 'Lead the organisation’s debt restructuring processes and spearhead initiatives to ensure that the latest global market conditions are considered']"
