Emerging Domain,Title of Priority Skill,Description of Priority Skill,Demand Growth,Transferability,No. of Job Posts in 2021 Requiring this Skill
Cyber Security and Risk,Cyber Forensics,"Develop and manage digital forensic investigation and reporting plan which specifies the tools, methods, procedures and practices to be used. This includes the collection, analysis and preservation of digital evidence in line with standard procedures and reporting of findings for legal proceedings",48.80%,19,89
Cyber Security and Risk,Cyber Risk Management,"Develop cyber risk assessment and treatment techniques that can effectively pre-empt and identify significant security loopholes and weaknesses, demonstration of the business risks associated with these loopholes and provision of risk treatment and prioritisation strategies to effectively address the cyber-related risks, threats and vulnerabilities identified to ensure appropriate levels of protection, confidentiality, integrity and privacy in alignment with the security framework",69.40%,77,651
Cyber Security and Risk,Cybersecurity Framework Application,Apply cybersecurity frameworks and implement practices to ensure safe and reliable networks and systems,66.00%,111,1835
Cyber Security and Risk,Data Ethics,"Apply legal and ethical principles in the collection, use, storage and disposal of data",5.40%,13,40
Cyber Security and Risk,Data Migration,Plan and perform activities to migrate data between computer storage types or file formats,56.30%,252,3350
Cyber Security and Risk,Data Protection Management,Develop and implement a Data Protection Management Programme to comply with the Personal Data Protection Act 2012,161.60%,621,28032
Cyber Security and Risk,Data Strategy,"Develop a robust and coherent data strategy and support architectures, policies, practices and procedures that enable the organisation to manage and utilise data in an effective manner. This includes introduction of innovative ways of organising, managing and integrating the data of the organisation to ensure their viability and ability to drive business value. It also includes the setting of information storage, sharing, handling and usage protocols to support alignment with relevant legislation and business strategies",48.30%,165,1242
Cyber Security and Risk,Data Wrangling,Process digital media files extracted from cameras in on-set production environments,150.00%,37,422
Cyber Security and Risk,Database Administration,"Perform Installation, coordination and upgrading of databases and database servers, performance monitoring and troubleshooting. This includes monitoring user access to database and optimisation of database performance, planning for backup and recovery, archived data maintenance and reporting",72.20%,209,3909
Cyber Security and Risk,Detection and Monitoring Application,Manage the detection and monitoring of cyber risks to ensure it is safe from cyber risks,115.40%,27,280
Cyber Security and Risk,Digital Asset and File Management,Develop and implement systematic procedures to organise digital content in collaborative and networked environments,18.60%,5,5
Cyber Security and Risk,Digital Forensics,Use forensic technologies in the delivery of forensic services,55.10%,66,686
Cyber Security and Risk,Disaster Recovery Management,"Develop and implement internal policies, processes and arrangements to guide and enable the prompt recovery of critical IT infrastructure and systems following a crisis or disaster. This includes monitoring the efficiency and effectiveness of response to significant incidents or disruptions and reviewing the organisation's disaster recovery plan and processes.",2.40%,41,116
Cyber Security and Risk,Evidence Management,Employ forensic research methodologies to collect and manage data,26.00%,3,2
Cyber Security and Risk,ICT Disaster Recovery Management,"Develop, evaluate and refine policies and processes to guide recovery of critical Information Technology (IT) infrastructure and systems following a crisis or disaster",123.00%,64,388
Cyber Security and Risk,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",167.80%,76,288
Cyber Security and Risk,Information Technology and Network Security,"Manage organisation’s network and data security, ensuring an ongoing rigorous review of the organisation’s digital, cyber and application security and IT network infrastructures, to ensure multiple layers of defences to protect proprietary data from attack and the organisation’s reputation",12.70%,115,1915
Cyber Security and Risk,Information Technology Application Support and Monitoring,"Provide Information Technology (IT) application and security support by troubleshooting issues, identifying root causes, performing trend analysis and/or monitoring performance, to ensure issues are resolved.",3.30%,212,2354
Cyber Security and Risk,IT Asset Management,"Manage, optimise and protect the organisation's IT assets. This includes the timely purchase, deployment, categorisation, maintenance and phase out of IT assets within the organisation in a way that optimises business value. Also includes development and implementation of procedures to guide the proper handling, usage and storage of IT assets to limit potential business or legal risks",68.20%,83,609
Cyber Security and Risk,IT Governance,"Set and monitor IT infrastructure, information, digital services and associated technology. This involves developing policies and practices to govern the organisation's approach toward handling and using IT products and services in order to ensure conformance with regulations and accountability in decision making in alignment with the business strategic plans and service standards",67.50%,176,1470
Cyber Security and Risk,IT Standards,"Develop and review of standard operating procedures as well as service expectations for IT-related activities and processes. This includes the provision of clear guidelines for the organisation to carry out IT-related tasks in a manner that is effective, efficient and consistent with the IT service standards and quality standards of the organisation",47.40%,273,2567
Cyber Security and Risk,IT Strategy,"Plan, develop and communicate effective inward- and outward-facing IT strategies, solutions and action plans, driven by environment scanning and assessment of the business' future needs and long-term strategic direction. This involves devising internal management strategies and models to support and sustain IT transformations and alignment of IT investments and programmes with the strategy to optimise the business value from IT",68.70%,424,3623
Cyber Security and Risk,Knowledge Management,"Develop and deploy systematic management of information within databases, documents, policies and procedures, as well as promote knowledge as a strategic organisational asset and key enabler of organisational learning.",29.60%,383,2588
Cyber Security and Risk,Media Data Management,"Design, implement and operate digital systems for managing the access to the organisation's content, including intellectual property and licensed content",800.00%,6,9
Cyber Security and Risk,Network Security,"Design and configure network systems to ensure the integrity of network infrastructure through the use of appropriate protection, detection and response mechanisms",37.50%,221,6060
Cyber Security and Risk,Operational Technology Security Audit Management,Manages audit and penetration testing on operational security measures,200.00%,8,27
Cyber Security and Risk,Operational Technology Security Design,"Develop the operational technology security frameworks, standard operating procedures and risk mitigation plans to ensure secure daily operations are well protected against risks, threats and vulnerabilities",21.90%,8,29
Cyber Security and Risk,Security Administration,"Administer, configure and update of security programmes and mechanisms, including the application of system patches to ensure that enterprise assets are adequately protected against threats. This also includes the authorisation, management and monitoring of access control permissions and/or rights to various IT facilities",55.40%,75,518
Cyber Security and Risk,Security Architecture,"Design security architectures and controls; either embedding of security principles into the design of architectures to mitigate the risks posed by new technologies and business practices, or the actual design and specification of implementable security components, along with the accompanying control measures, to meet defined business security needs",100.90%,74,1208
Cyber Security and Risk,Security Assessment and Testing,"Conduct threat modelling, vulnerability assessment and penetration testing to reveal vulnerabilities or lapses in the existing systems or security mechanisms and evaluate the extent to which systems are able to protect the organisation's data and maintain functionality as intended",74.00%,199,4053
Cyber Security and Risk,Security Education and Awareness,"Drive security education and awareness in an organisation by providing advice and guidance on potential risks, mitigation strategies and best practices. This includes development of communication strategies and training materials to ensure employee adoption and adherence to security policies and standards",136.90%,75,970
Cyber Security and Risk,Security Governance,"Develop and disseminate corporate security policies, frameworks and guidelines to ensure that day-to-day business operations guard or are well protected against risks, threats and vulnerabilities",95.10%,491,9868
Cyber Security and Risk,Security Programme Management,"Develop and manage security solutions, products and services through technology innovation, experimentation and collaboration. This includes security programme planning, developing and testing new security capabilities and implementing security technologies and programmes",89.50%,78,946
Cyber Security and Risk,Security Strategy,"Establish the organisation's security vision, strategy and initiatives to ensure adequate protection of assets. This involves the planning, implementation and review of enterprise-wide security controls which includes policies, processes, physical infrastructure, software and hardware functions to govern and preserve the privacy, security and confidentiality of the organisation's information and assets",85.80%,92,975
Cyber Security and Risk,Threat Analysis and Defence,"Enable and conduct analysis of malicious threats, to examine their characteristics, behaviours, capabilities, intent and interactions with the environment as well as the development of defence and mitigation strategies and techniques to effectively combat such threats",147.80%,26,213
Cyber Security and Risk,Threat And Vulnerability Management,Manage cyber threats and system vulnerabilities to minimise cyber risks,10.70%,31,385
Cyber Security and Risk,Threat Intelligence and Detection,"Monitor intelligence-gathering and anticipate potential threats to an ICT system proactively. This involves the pre-emptive analysis of potential perpetrators, anomalous activities and evidence-based knowledge and inferences on perpetrators' motivations and tactics",65.40%,128,2041
Cyber Security and Risk,Data Collection and Management,Employ sound research methodologies to collect and manage data,112.80%,117,915
Cyber Security and Risk,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",64.60%,570,11095
Cyber Security and Risk,Research Data Collection and Management,"Collect research data and manage research databases, including extracting required data and managing data storage",50.30%,542,8691
E-commerce and Digital Marketing,Affiliate Marketing,"Select and manage affiliates to strengthen customer engagement, enhance lead conversion, broaden the reach of marketing efforts and optimise marketing return-on-investment",85.40%,63,446
E-commerce and Digital Marketing,Behavioural Economics in Design,"Examine psychological, behavioural, emotional and social factors to uncover insights on how people behave and make decisions",60.40%,31,128
E-commerce and Digital Marketing,Blog and Vlog Deployment,Publish and maintain informal websites for information sharing and discussion in a 'diary' style format with entries or 'posts' uploaded and updated in chronological order to drive brand perceptions and experience,64.20%,95,1474
E-commerce and Digital Marketing,Business Environment Analysis,"Analyse data pertaining to the business landscape and environment, including competitor-analysis, trends and developments in laws and regulations and the impact on the business",49.30%,605,13029
E-commerce and Digital Marketing,Category Management,"Establish category management principles to identify trends, opportunities and risks, as well as monitor and manage internal systems to evaluate level of spending",55.40%,18,45
E-commerce and Digital Marketing,Consumer Intelligence Analysis,"Devise frameworks for consumer intelligence analysis to develop an understanding of customer knowledge from various customer touch points, for example, customer relationship management (CRM), point-of-sale (POS) an e-commerce systems",75.70%,137,749
E-commerce and Digital Marketing,Content Management,"Create, curate and manage the organisation's web assets and content using appropriate systems and platforms to engage prospects and customers on the organisation's value propositions",74.90%,422,7461
E-commerce and Digital Marketing,Content Marketing Strategy,"Develop strategy for delivering consistent messaging through content on various platforms, including the conceptualisation and development of content and the optimisation of content delivery parameters to attract and engage target audience",134.50%,21,116
E-commerce and Digital Marketing,Customer Behaviour Analysis,"Devise customer behaviour analysis tools and approaches, to perform analysis on information pertaining to customer behaviours, leading to improved customer recommendations",65.90%,64,265
E-commerce and Digital Marketing,Customer Data Analysis,Devise frameworks for customer data analysis to develop an understanding of customer knowledge and behaviour from various customer touchpoints.,27.00%,551,30076
E-commerce and Digital Marketing,Customer Experience Management,Compile and analyse information gathered through various channels and manage communication across customer touch points to ensure a consistent and pleasant customer experience,75.00%,823,22822
E-commerce and Digital Marketing,Demand Analysis,Devise frameworks to assess market dynamics and execute analyses to uncover demand outlook of products or services,80.00%,84,338
E-commerce and Digital Marketing,Demand and Supply Analysis,Analyse and assess market dynamics to uncover demand and supply outlook of products to enable better positioning and identification of opportunities and suitability of offerings,26.50%,5,8
E-commerce and Digital Marketing,Digital Marketing and Communication,Develop digital outreach plans and marketing collaterals to communicate and enhance the organisation's employer brand,62.70%,32,112
E-commerce and Digital Marketing,Digital Marketing Management,"Perform digital marketing activities, including Search Engine Optimisation (SEO), Search Engine Marketing (SEM) and affiliate marketing",93.30%,504,25219
E-commerce and Digital Marketing,E-commerce Campaign Management,"Develop, manage and execute e-Commerce strategies and campaigns according to agreed timelines and budgetary requirements",80.10%,71,479
E-commerce and Digital Marketing,E-commerce Management,"Develop, manage and execute e-commerce strategies and activities according to organisational objectives",94.50%,761,27947
E-commerce and Digital Marketing,Inbound Marketing,"Promote organisation's products and services through creating quality, customer-centric content for blogs, podcasts, videos, eBooks, newsletters, whitepapers, SEO, physical products, social media marketing, and other forms of content marketing to attract customers through the different stages of the purchase funnel",113.10%,52,387
E-commerce and Digital Marketing,Integrated Marketing,Develop and execute a marketing plan on and across various channels and platforms as well as the tracking of customers' response and effectiveness to marketing communications on these channels. This also includes the integration of traditional and digital marketing channels and techniques where applicable,63.10%,178,2328
E-commerce and Digital Marketing,Market Demand and Feedstock Management,"Manage feed supply for market demand and respond to feed shortfall, opportunity realisation for feed surplus and/or changes in customer demand",2450.00%,10,102
E-commerce and Digital Marketing,Market Intelligence,Implement market intelligence systems for the systematic collection and analysis of information about the market and trends in order to build competitive advantages,102.60%,129,649
E-commerce and Digital Marketing,Market Research,"Conduct market research to identify opportunities for enhancing product suites, services and revenue opportunities for the organisation",68.90%,568,13164
E-commerce and Digital Marketing,Market Research and Analysis,"Develop market analysis frameworks and objectives to guide and conduct analyses of market trends, developments, competitive factors and economic changes to identify useful business insights, drive economic decisions and forecast market needs",75.30%,164,1438
E-commerce and Digital Marketing,Market Specialisation,Apply market and industry knowledge to key service offerings as well as understand relevant laws and regulations in relevant markets to be able to customise advice to clients,50.30%,130,560
E-commerce and Digital Marketing,Market Trend Analysis,"Devise the framework, manage and conduct the situational analysis process to uncover market trends and industry developments to identify new opportunities",80.80%,429,4229
E-commerce and Digital Marketing,Marketing Campaign Management,Develop evaluation strategies for marketing campaign effectiveness and analyse data to provide recommendations for improvements in future marketing campaigns,88.30%,109,1095
E-commerce and Digital Marketing,Mobile Apps Marketing,"Employ interactive mobile apps as a marketing resource for 'anytime' and 'anywhere' customer acquisition, engagement, loyalty and lead conversion",56.10%,119,704
E-commerce and Digital Marketing,Paid Search Engine Marketing (SEM),Invest in paid advertising on search engines to maximise traffic on the organisation's digital assets and content on Pay-Per-Click (PPC) models to generate awareness as well as enhance customer engagement and lead conversions,92.20%,186,5684
E-commerce and Digital Marketing,Pricing Strategy,"Analyse product, organisational and market factors, trends, pricing scenarios and valuation models to develop effective pricing strategies for products and solutions ",65.70%,238,2732
E-commerce and Digital Marketing,Product Development,"Evaluate consumer and market trends to determine value proposition, cost-effectiveness and profitability of proposed products in different markets",64.70%,840,24629
E-commerce and Digital Marketing,Qualitative Analysis,"Formulate research questions and hypotheses, identify qualitative data sources for analysis of securities and provide investment recommendations based on analysis",69.30%,457,3501
E-commerce and Digital Marketing,Qualitative Research,"Conduct and lead qualitative research studies, focusing on the study of people, habits, norms and cultures, to uncover insights driving the behaviour of different respondents",62.60%,119,894
E-commerce and Digital Marketing,Revenue Optimisation,"Analyse data for trends, yield and forecasts to manage pricing, inventory, demand and distribution channels strategically to maximise revenue growth",32.70%,90,418
E-commerce and Digital Marketing,Sales Channel Management,"Develop and implement a strategy to manage the channels and channel partners through which products and/or services are sold. This also includes the assessment and selection of suitable channel partners, establishment and expansion of alliances with channel partners and maintenance of a committed network of distributors",43.80%,269,3299
E-commerce and Digital Marketing,Sales Trends and Opportunities Analysis,"Analyse sales trends and opportunities to manage inventory, evaluate sales strategies and pursue new sales leads to meet organisational sales and marketing objectives",21.10%,130,1061
E-commerce and Digital Marketing,Search Engine Optimisation (SEO),Optimise online digital assets and content of brands and products to enable and enhance discoverability by search engines,108.80%,291,10042
E-commerce and Digital Marketing,Sentiment Analysis,"Devise, develop and use sentiment analysis models to computationally identify and categorise opinions expressed in a piece of text",47.00%,34,197
E-commerce and Digital Marketing,Service Information and Results,Acquire and analyse data and information to enhance the organisation’s service performance,155.70%,71,234
E-commerce and Digital Marketing,Social Media Content Creation and Management,Develop social media content and strategies to engage target audience segments,79.70%,99,1271
E-commerce and Digital Marketing,Social Media Management,Leverage various social networking platforms to deliver the organisation's value propositions as well as contextual and targeted messaging based on real-time customer insights to engage in two-way communication with prospects and customers,68.60%,128,1601
E-commerce and Digital Marketing,Social Media Marketing,"Formulate, execute and evaluate social media strategic plans to establish positive relationships with industry and social media colleagues and proactively seek and evaluate innovative marketing opportunities",95.60%,220,4492
E-commerce and Digital Marketing,Technical Sales Support,"Develop preliminary technical solutions, proposal or initial prototypes to address customers' needs. This includes analysis and diagnosis of customers' technical requirements, design of proof of concept, and delivery of product demonstrations and/or customisation samples as part of broader end-to-end solution to customers",67.20%,89,617
E-commerce and Digital Marketing,Trend Forecasting,"Drive the practice of collecting and comparing information over time to identify trends and patterns, in order to predict and plan for future events",811.00%,31,83
